[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=15
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001503527714768438,-4.118527851787881e-007
0.714286,0.0001014030715969909,5.15291846071712e-005
1.42857,6.692014396615634e-005,8.398215713533023e-005
2.14286,4.469110206172969e-005,0.00010697185329664
2.85714,2.8481411684793e-005,0.0001200631554169401
3.57143,1.895718467964147e-005,0.000130485674158004
4.28571,1.184649457767202e-005,0.0001363859920565427
5,8.274358275378495e-006,0.0001441220127031587
5.71429,7.645653714523306e-006,0.0001427857977391906
6.42857,2.987092706043389e-006,0.0001471192483259838
7.14286,-6.882037325730305e-007,0.000149123331067705
7.85714,1.391842756316757e-006,0.0001491862982406266
8.57143,5.054565353519745e-006,0.0001476675706352999
9.28571,3.009645596156514e-007,0.0001479121936828051
10,9.225607153496074e-007,0.0001509367654591784

[WEIGHTS]
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
