[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=15
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001520159704504567,-8.49980710444137e-007
0.714286,0.0001004461683545996,5.134129671476464e-005
1.42857,6.636220018727973e-005,8.285118508863819e-005
2.14286,4.422247324581843e-005,0.0001021290857061572
2.85714,2.803976710771739e-005,0.0001195194582860762
3.57143,2.035421098695115e-005,0.0001332503158540754
4.28571,1.446470958451202e-005,0.0001365554441908132
5,7.424359771498876e-006,0.0001397761690800648
5.71429,4.403775631064306e-006,0.0001423428847265377
6.42857,1.892930899636118e-006,0.0001466068658950103
7.14286,7.928194696155427e-007,0.0001478850416207962
7.85714,8.625036639003509e-007,0.0001460652943776359
8.57143,7.847644497621936e-007,0.0001510345879002687
9.28571,3.702446941549674e-007,0.0001460620687172047
10,9.226489048563749e-007,0.0001493430553968218

[WEIGHTS]
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
1,1.7956e-012,1.7956e-012
